name,mmsi,imo,call_sign,vessel_type__sub_type,gross_tonnage,deadweight,length,year_built,built_at_(shipyard),country,url
DONG YAN NO.113,416006776,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/dong-yan-no113-mmsi-416006776
DONGGALA 1,525800730,-,-,Fishing / FISHING,-,-,-,-,-,Indonesia,https://magicport.ai/vessels/fishing/donggala-1-mmsi-525800730
DONGIN,440209060,-,-,Fishing / FISHING,-,-,-,-,-,South Korea,https://magicport.ai/vessels/fishing/dongin-mmsi-440209060
DONGLUO555,412000800,-,-,Fishing / FISHING,-,-,-,-,-,China,https://magicport.ai/vessels/fishing/dongluo555-mmsi-412000800
DONGMYUNG,440410890,-,-,Fishing / FISHING,-,-,-,-,-,South Korea,https://magicport.ai/vessels/fishing/dongmyung-mmsi-440410890
DONGSHAN62,412030262,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/dongshan62-mmsi-412030262
DONGYUYANG11046,900011046,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/dongyuyang11046-mmsi-900011046
DOREONGHO,440600140,-,-,Fishing / FISHING,-,-,-,-,-,South Korea,https://magicport.ai/vessels/fishing/doreongho-mmsi-440600140
DOUBLE'N DOWN,316048685,-,-,Fishing / FISHING,-,-,-,-,-,Canada,https://magicport.ai/vessels/fishing/doublen-down-mmsi-316048685
DOUBLED UP,338120961,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/doubled-up-mmsi-338120961
DRAGON,440087870,-,-,Fishing / FISHING,-,-,-,-,-,South Korea,https://magicport.ai/vessels/fishing/dragon-mmsi-440087870
DRIVEN,316044217,-,-,Fishing / FISHING,-,-,-,-,-,Canada,https://magicport.ai/vessels/fishing/driven-mmsi-316044217
DU BAE HO,440030010,-,607,Fishing / FISHING,-,-,-,-,-,South Korea,https://magicport.ai/vessels/fishing/du-bae-ho-mmsi-440030010
DUBLIN ENDEVOUR,316008410,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/dublin-endevour-mmsi-316008410
DUC 66 C 13,574093449,-,93449,Fishing / FISHING,-,-,23 m,-,-,-,https://magicport.ai/vessels/fishing/duc-66-c-13-mmsi-574093449
DUC BEN 3TAN 25B,574919232,-,-,Fishing / FISHING,-,-,26 m,-,-,Vietnam,https://magicport.ai/vessels/fishing/duc-ben-3tan-25b-mmsi-574919232
DUC F16,574098312,-,-,Fishing / FISHING,-,-,-,-,-,Vietnam,https://magicport.ai/vessels/fishing/duc-f16-mmsi-574098312
DUC HIEU7O.HIEUOKD18,777790214,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/duc-hieu7ohieuokd18-mmsi-777790214
DUC HUNG 39 B2,574099739,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/duc-hung-39-b2-mmsi-574099739
DUC NGA 1 D25,636771390,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/duc-nga-1-d25-mmsi-636771390
DUC NHAN HAU C36,574002021,-,-,Fishing / FISHING,-,-,10 m,-,-,Vietnam,https://magicport.ai/vessels/fishing/duc-nhan-hau-c36-mmsi-574002021
DUCK YANG HO,440206260,-,-,Fishing / FISHING,-,-,-,-,-,South Korea,https://magicport.ai/vessels/fishing/duck-yang-ho-mmsi-440206260
DUCTAI GHELUOI 72B23,574081708,-,-,Fishing / FISHING,-,-,-,-,-,Vietnam,https://magicport.ai/vessels/fishing/ductai-gheluoi-72b23-mmsi-574081708
DUK SUNG,440223230,-,-,Fishing / FISHING,-,-,-,-,-,South Korea,https://magicport.ai/vessels/fishing/duk-sung-mmsi-440223230
DUK SUNG HO,440224950,-,-,Fishing / FISHING,-,-,-,-,-,South Korea,https://magicport.ai/vessels/fishing/duk-sung-ho-mmsi-440224950
DUY KHANG 01 D 26,574594448,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/duy-khang-01-d-26-mmsi-574594448
DUY NHAT DUY HOANG,574336789,-,-,Fishing / FISHING,-,-,130 m,-,-,Vietnam,https://magicport.ai/vessels/fishing/duy-nhat-duy-hoang-mmsi-574336789
E 2GIY K48 Q88,412285445,-,-,Fishing / FISHING,-,-,-,-,-,China,https://magicport.ai/vessels/fishing/e-2giy-k48-q88-mmsi-412285445
E 5 179 179,999991079,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/e-5-179-179-mmsi-999991079
EAGLES,440030590,-,-,Fishing / FISHING,-,-,-,-,-,South Korea,https://magicport.ai/vessels/fishing/eagles-mmsi-440030590
EBADA,440139770,-,-,Fishing / FISHING,-,-,-,-,-,South Korea,https://magicport.ai/vessels/fishing/ebada-mmsi-440139770
EBISU,431009039,-,-,Fishing / FISHING,-,-,-,-,-,Japan,https://magicport.ai/vessels/fishing/ebisu-mmsi-431009039
EBISU MARU,431015099,-,-,Fishing / FISHING,-,-,-,-,-,Japan,https://magicport.ai/vessels/fishing/ebisu-maru-mmsi-431015099
EBISUMARU,431014145,-,-,Fishing / FISHING,-,-,-,-,-,Japan,https://magicport.ai/vessels/fishing/ebisumaru-mmsi-431014145
EBISUMARU,431007797,-,-,Fishing / FISHING,-,-,-,-,-,Japan,https://magicport.ai/vessels/fishing/ebisumaru-mmsi-431007797
EBISUMARU,431024278,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/ebisumaru-mmsi-431024278
EBRANSO,760000561,-,-,Fishing / FISHING,-,-,-,-,-,Peru,https://magicport.ai/vessels/fishing/ebranso-mmsi-760000561
ECHO 2,416008181,-,-,Fishing / FISHING,-,-,14 m,-,-,-,https://magicport.ai/vessels/fishing/echo-2-mmsi-416008181
ED BOYS,316031553,-,-,Fishing / FISHING,-,-,-,-,-,Canada,https://magicport.ai/vessels/fishing/ed-boys-mmsi-316031553
EF1120340,567003571,-,-,Fishing / FISHING,-,-,-,-,-,Thailand,https://magicport.ai/vessels/fishing/ef1120340-mmsi-567003571
EF20755,567004032,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/ef20755-mmsi-567004032
EF22031,567005449,-,-,Fishing / FISHING,-,-,-,-,-,Thailand,https://magicport.ai/vessels/fishing/ef22031-mmsi-567005449
EF22128,567005557,-,-,Fishing / FISHING,-,-,-,-,-,Thailand,https://magicport.ai/vessels/fishing/ef22128-mmsi-567005557
EI PHYO YADANAR 9,506010090,-,XYZ5539,Fishing / FISHING,-,-,-,-,-,Myanmar,https://magicport.ai/vessels/fishing/ei-phyo-yadanar-9-mmsi-506010090
EI PHYO YADNAR,506010130,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/ei-phyo-yadnar-mmsi-506010130
EILIF,257110370,-,LD6566,Fishing / FISHING,-,-,7 m,-,-,Norway,https://magicport.ai/vessels/fishing/eilif-mmsi-257110370
