name,mmsi,imo,call_sign,vessel_type__sub_type,gross_tonnage,deadweight,length,year_built,built_at_(shipyard),country,url
YUEHUILAIYU22085,412466808,-,22085,Fishing / FISHING,-,-,20 m,-,-,China,https://magicport.ai/vessels/fishing/yuehuilaiyu22085-mmsi-412466808
YUEHUILAIYU22153,412467122,-,22153,Fishing / FISHING,-,-,22 m,-,-,China,https://magicport.ai/vessels/fishing/yuehuilaiyu22153-mmsi-412467122
YUEHUILAIYU22883,412472401,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/yuehuilaiyu22883-mmsi-412472401
YUEHUILAIYU41070,412466378,-,41070,Fishing / FISHING,-,-,22 m,-,-,China,https://magicport.ai/vessels/fishing/yuehuilaiyu41070-mmsi-412466378
YUEHUILAIYU41373,412466255,-,41373,Fishing / FISHING,-,-,27 m,-,-,China,https://magicport.ai/vessels/fishing/yuehuilaiyu41373-mmsi-412466255
YUEHUILAIYU41417,412466442,-,41417,Fishing / FISHING,-,-,22 m,-,-,China,https://magicport.ai/vessels/fishing/yuehuilaiyu41417-mmsi-412466442
YUEHUILAIYU43146,412466965,-,43146,Fishing / FISHING,-,-,27 m,-,-,China,https://magicport.ai/vessels/fishing/yuehuilaiyu43146-mmsi-412466965
YUEHUILAIYU43358,412466397,-,43358,Fishing / FISHING,-,-,23 m,-,-,China,https://magicport.ai/vessels/fishing/yuehuilaiyu43358-mmsi-412466397
YUEHUILAIYU43361,412466691,-,-,Fishing / FISHING,-,-,22 m,-,-,China,https://magicport.ai/vessels/fishing/yuehuilaiyu43361-mmsi-412466691
YUEHUILAIYU43561,412466966,-,55555,Fishing / FISHING,-,-,22 m,-,-,China,https://magicport.ai/vessels/fishing/yuehuilaiyu43561-mmsi-412466966
YUEHUILAIYU43592,412466983,-,43592,Fishing / FISHING,-,-,24 m,-,-,China,https://magicport.ai/vessels/fishing/yuehuilaiyu43592-mmsi-412466983
YUEHUILAIYU43972,412466881,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/yuehuilaiyu43972-mmsi-412466881
